date, value
"August 20, 1973",0.6735
"August 21, 1973",0.671
"August 22, 1973",0.658
"August 23, 1973",0.6675
"August 24, 1973",0.666
"August 27, 1973",0.659
"August 28, 1973",0.64
"August 29, 1973",0.6345
"August 30, 1973",0.6387
"August 31, 1973",0.6402
"September 4, 1973",0.6432
"September 5, 1973",0.637
"September 6, 1973",0.636
"September 7, 1973",0.638
"September 10, 1973",0.6335
"September 11, 1973",0.6302
"September 12, 1973",0.6365
"September 13, 1973",0.645
"September 14, 1973",0.6645
"September 17, 1973",0.6575
"September 18, 1973",0.6562
"September 19, 1973",0.6515
"September 20, 1973",0.648
"September 21, 1973",0.6465
"September 24, 1973",0.657
"September 25, 1973",0.673
"September 26, 1973",0.684
"September 27, 1973",0.6855
"September 28, 1973",0.6782
"October 1, 1973",0.68
"October 2, 1973",0.6847
"October 3, 1973",0.6845
"October 4, 1973",0.6812
"October 5, 1973",0.6822
"October 9, 1973",0.677
"October 10, 1973",0.6795
"October 11, 1973",0.6702
"October 12, 1973",0.6507
"October 15, 1973",0.6415
"October 16, 1973",0.6433
"October 17, 1973",0.642
"October 18, 1973",0.6493
"October 19, 1973",0.652
"October 23, 1973",0.652
"October 24, 1973",0.6453
"October 25, 1973",0.6483
"October 26, 1973",0.6478
"October 29, 1973",0.6438
"October 30, 1973",0.6448
"October 31, 1973",0.6505
"November 1, 1973",0.6544
"November 2, 1973",0.6475
"November 5, 1973",0.652
"November 7, 1973",0.655
"November 8, 1973",0.657
"November 9, 1973",0.657
"November 12, 1973",0.661
"November 13, 1973",0.657
"November 14, 1973",0.6413
"November 15, 1973",0.6445
"November 16, 1973",0.647
"November 19, 1973",0.6503
"November 20, 1973",0.64
"November 21, 1973",0.6381
"November 23, 1973",0.641
"November 26, 1973",0.6275
"November 27, 1973",0.628
"November 28, 1973",0.6344
"November 29, 1973",0.6498
"November 30, 1973",0.6534
"December 3, 1973",0.6618
"December 4, 1973",0.6645
"December 5, 1973",0.6655
"December 6, 1973",0.664
"December 7, 1973",0.6718
"December 10, 1973",0.685
"December 11, 1973",0.6735
"December 12, 1973",0.6739
"December 13, 1973",0.6698
"December 14, 1973",0.667
"December 17, 1973",0.6688
"December 18, 1973",0.6693
"December 19, 1973",0.672
"December 20, 1973",0.6728
"December 21, 1973",0.6733
"December 26, 1973",0.6763
"December 27, 1973",0.674
"December 28, 1973",0.6705
"December 31, 1973",0.674
"January 2, 1974",0.689
"January 3, 1974",0.688
"January 4, 1974",0.684
"January 7, 1974",0.6978
"January 8, 1974",0.692
"January 9, 1974",0.6903
"January 10, 1974",0.6958
"January 11, 1974",0.7085
"January 14, 1974",0.7285
"January 15, 1974",0.7195
"January 16, 1974",0.7238
"January 17, 1974",0.719
"January 18, 1974",0.718
"January 21, 1974",0.738
"January 22, 1974",0.731
"January 23, 1974",0.7225
"January 24, 1974",0.7405
"January 25, 1974",0.7485
"January 28, 1974",0.7425
"January 29, 1974",0.7373
"January 30, 1974",0.7328
"January 31, 1974",0.7265
"February 1, 1974",0.7333
"February 4, 1974",0.7533
"February 5, 1974",0.755
"February 6, 1974",0.7405
"February 7, 1974",0.75
"February 8, 1974",0.768
"February 11, 1974",0.788
"February 13, 1974",0.768
"February 14, 1974",0.773
"February 15, 1974",0.78
"February 19, 1974",0.76
"February 20, 1974",0.7425
"February 21, 1974",0.7625
"February 22, 1974",0.7548
"February 25, 1974",0.7476
"February 26, 1974",0.7625
"February 27, 1974",0.7442
"February 28, 1974",0.7347
"March 1, 1974",0.737
"March 4, 1974",0.7181
"March 5, 1974",0.7025
"March 6, 1974",0.719
"March 7, 1974",0.72
"March 8, 1974",0.7248
"March 11, 1974",0.7208
"March 12, 1974",0.7208
"March 13, 1974",0.7233
"March 14, 1974",0.7393
"March 15, 1974",0.7363
"March 18, 1974",0.7433
"March 19, 1974",0.7318
"March 20, 1974",0.7453
"March 21, 1974",0.7653
"March 22, 1974",0.7568
"March 25, 1974",0.7368
"March 26, 1974",0.72
"March 27, 1974",0.734
"March 28, 1974",0.7315
"March 29, 1974",0.749
"April 1, 1974",0.7305
"April 2, 1974",0.7365
"April 3, 1974",0.734
"April 4, 1974",0.7425
"April 5, 1974",0.726
"April 8, 1974",0.708
"April 9, 1974",0.712
"April 10, 1974",0.716
"April 11, 1974",0.714
"April 15, 1974",0.71
"April 16, 1974",0.69
"April 17, 1974",0.6993
"April 18, 1974",0.707
"April 19, 1974",0.7148
"April 22, 1974",0.719
"April 23, 1974",0.704
"April 24, 1974",0.6985
"April 25, 1974",0.699
"April 26, 1974",0.7088
"April 29, 1974",0.7162
"April 30, 1974",0.7246
"May 1, 1974",0.7455
"May 2, 1974",0.744
"May 3, 1974",0.7415
"May 6, 1974",0.7215
"May 7, 1974",0.7285
"May 8, 1974",0.7356
"May 9, 1974",0.7458
"May 10, 1974",0.7463
"May 13, 1974",0.7338
"May 14, 1974",0.7325
"May 15, 1974",0.7125
"May 16, 1974",0.7293
"May 17, 1974",0.7355
"May 20, 1974",0.7278
"May 21, 1974",0.7328
"May 22, 1974",0.731
"May 23, 1974",0.7138
"May 24, 1974",0.7243
"May 28, 1974",0.7165
"May 29, 1974",0.7255
"May 30, 1974",0.7263
"May 31, 1974",0.7313
"June 3, 1974",0.7355
"June 4, 1974",0.7325
"June 5, 1974",0.7393
"June 6, 1974",0.7428
"June 7, 1974",0.7435
"June 10, 1974",0.7505
"June 11, 1974",0.7478
"June 12, 1974",0.7475
"June 13, 1974",0.748
"June 14, 1974",0.7495
"June 17, 1974",0.737
"June 18, 1974",0.717
"June 19, 1974",0.7318
"June 20, 1974",0.726
"June 21, 1974",0.7098
"June 24, 1974",0.6898
"June 25, 1974",0.6752
"June 26, 1974",0.6914
"June 27, 1974",0.6868
"June 28, 1974",0.7054
"July 1, 1974",0.7075
"July 2, 1974",0.711
"July 3, 1974",0.723
"July 5, 1974",0.718
"July 8, 1974",0.698
"July 9, 1974",0.69
"July 10, 1974",0.699
"July 11, 1974",0.719
"July 12, 1974",0.728
"July 15, 1974",0.726
"July 16, 1974",0.7292
"July 17, 1974",0.7328
"July 18, 1974",0.7128
"July 19, 1974",0.6928
"July 22, 1974",0.695
"July 23, 1974",0.68
"July 24, 1974",0.6985
"July 25, 1974",0.69
"July 26, 1974",0.697
"July 29, 1974",0.6908
"July 30, 1974",0.698
"July 31, 1974",0.6925
